date,category,title,description
2024-08-27,application_cycle,Applications Open: Server Custodian (first),First custodian application cycle
2024-10-07,milestone,"20,000 members",Community milestone
2024-12-10,game_update,AC 1.0,Version 1.0 launch
2025-01-28,game_update,AC 1.7 Mining Update (Part 1),Major content update
2025-02-11,game_update,AC 1.9 Mining Update (Part 2),Major content update
2025-03-06,milestone,1 Million YouTube views/subs milestone,Community milestone
2025-03-07,milestone,"200,000 Discord members",Community milestone
2025-03-11,game_update,AC 1.13 The Office,Major content update
2025-03-30,milestone,100K YouTube subscribers,Community milestone
2025-04-29,game_update,AC 1.20,Major content update
2025-05-13,game_update,AC 1.22,Major content update
2025-05-20,game_update,AC 1.23 ARENA UPDATE,Major content update
2025-06-24,game_update,AC 1.28 R.A.M. CALIBRATION REQUIRED,Major content update
2025-07-01,game_update,AC 1.29 CRITICAL ERROR,Major content update (high engagement)
2025-07-23,milestone,"300,000 Discord members",Community milestone
2025-07-29,game_update,AC 1.33 CAVES ARE BACK,Major content update
2025-08-05,game_update,AC 1.34,Major content update
2025-09-16,game_update,AC 1.40,Major content update
2025-09-30,game_update,AC 1.42 Graveyard,Major content update
2025-10-21,game_update,AC 1.45 THE CIRCUS,Major content update
2025-11-04,game_update,AC 1.47 Progression Update,Major content update
2025-11-05,program_launch,Community Program Announcement,The initial announcement of the new community program strategy
2025-11-12,program_launch,Alpha Crew Membership Announcement,Alpha Crew VIP recognition program launches
2025-11-14,game_update,AC 1.48 Reactor,Major content update
2025-12-12,program_launch,Bug Buddies - Community Bug Program,New community bug-reporting program launches
2025-12-16,game_update,AC 1.53 The Mountain,Major content update
2025-12-22,program_launch,"Alpha Crew, Discord Updates Channel, and New Ping Role",Discord Updates channel created; program restructuring
2026-01-06,application_cycle,January Custodian Applications,Monthly custodian application cycle
2026-01-09,program_launch,Ghostie Bot Message Count and Leaderboard,Ghostie bot's message tracking and leaderboard feature launches
2026-01-12,program_launch,The Weekly Results are in! (first),First weekly leaderboard/results post
2026-01-13,game_update,AC 1.56 GOOP SAVING UPDATE,Major content update
2026-01-15,feature_launch,Levelling Update & Daily Messaging Streaks,The leveling ladder and 7-Day Streak system launches
2026-01-27,feature_launch,Level System Updates,Updates to the leveling system
2026-01-29,program_launch,Creator Collective is here,Creator recognition program launches
2026-02-11,game_update,AC 1.60 FISHING,Major content update
2026-02-18,program_launch,WELCOME TO FAQ TEAM!,FAQ Team community support program launches
2026-02-27,leadership,Creative director's last day at Wooster Games,Creative director departure announced
2026-02-28,application_cycle,Creator Collective Applications — March Reopening,Monthly creator application cycle
2026-03-04,application_cycle,FAQ Team Applications Are Open!,FAQ team application cycle
2026-03-05,program_launch,Bug Buddy Apps Open! (formalized),Bug Buddy program applications formalized
2026-03-17,game_update,AC 1.65.0,Major content update
2026-03-26,program_launch,Double XP Thursday (first),Recurring weekly engagement incentive begins
2026-04-01,feature_launch,Level Role Changes,Changes to level role structure
2026-04-14,application_cycle,Bug Buddy Applications!,Bug buddy application cycle
2026-04-15,program_launch,Developer Feedback Sessions (first),Recurring live dev Q&A sessions begin
2026-04-16,milestone,"200,000 YouTube subscribers",Community milestone
2026-05-05,feature_launch,Account Linking and Private Lobby Controls in Discord,Discord/game account linking feature launches
2026-05-09,milestone,"425K+ Discord Members, 4.8-star rating",Community milestone
2026-05-13,game_update,AC 1.73.0,Major content update
2026-05-21,milestone,Animal Company is officially LIVE,Game exits early access / full launch
2026-06-06,feature_launch,Discord Account Linking (re-promoted),Additional push on account linking feature
2026-06-12,program_launch,Linen's Birthday Message Contest,24-hour message tracking contest begins
2026-06-12,feature_launch,Official Discord Verification!,Discord verification system formalized
2026-06-14,incident,Addressing Harassment & Bullying,Community moderation announcement
2026-06-29,feature_launch,Discord Account Linking Updates,Follow-up updates to account linking
